fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.71138,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.70762,0.00989,0.00984,0.93776,0.0005,3.0,0.80704,7.52785,0.50439,1.49547,0.01499,0.70362,0.40001,0.0,0.10026,0.4986,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.69892,0.01285,0.01,0.937,0.00051,3.1204,0.80857,8.55648,0.45656,1.3266,0.01644,0.73482,0.42167,0.0,0.1,0.57106,0.0,0.0,0.0,0.46646,1.0,0.0,0.0
0.71085,0.00784,0.00984,0.98,0.0005,3.0,0.80704,7.22013,0.4647,1.49547,0.01428,0.70362,0.39881,0.0,0.08774,0.4986,0.0,0.0,0.0,0.40711,1.0,0.0,0.0
0.70769,0.00784,0.00988,0.98,0.00056,2.94285,0.91706,7.60668,0.43485,1.63869,0.01334,0.63567,0.40494,0.0,0.08788,0.49398,0.0,0.0,0.0,0.42067,1.0,0.0,0.0
0.71933,0.01021,0.00967,0.96043,0.0005,3.0,0.83746,7.71225,0.48117,1.69311,0.01505,0.66938,0.38012,0.0,0.10026,0.47849,0.0,0.0,0.0,0.48819,1.0,0.0,0.0
0.69668,0.00858,0.00774,0.98,0.00046,3.82517,0.95,9.51287,0.49782,1.34787,0.00937,0.66938,0.38885,0.0,0.09315,0.48036,0.0,0.0,0.0,0.48819,1.0,0.0,0.0
0.71549,0.01041,0.01019,0.95642,0.00052,2.90431,0.8185,8.25932,0.49415,1.69311,0.01697,0.65594,0.41792,0.0,0.08379,0.45681,0.0,0.0,0.0,0.51759,0.98701,0.0,0.0
0.72014,0.01189,0.00702,0.96448,0.00046,2.26932,0.95,9.0461,0.56432,1.69311,0.01505,0.66938,0.38012,0.0,0.09231,0.37411,0.0,0.0,0.0,0.34516,0.68451,0.0,0.0
0.71098,0.01188,0.00674,0.96448,0.00046,2.25821,0.95,9.19339,0.56251,1.72381,0.01494,0.66938,0.38292,0.0,0.09231,0.37411,0.0,0.0,0.0,0.33663,0.68572,0.0,0.0
0.70252,0.01021,0.00978,0.96043,0.0005,2.92451,0.81958,7.23449,0.47827,1.66563,0.01555,0.71102,0.37204,0.0,0.10026,0.47912,0.0,0.0,0.0,0.50751,0.99974,0.0,0.0
0.68597,0.01082,0.0083,0.98,0.00048,2.23953,0.76251,9.0461,0.54156,1.89363,0.01505,0.7265,0.29311,0.0,0.09815,0.41465,0.0,0.0,0.0,0.33336,0.6765,0.0,0.0
0.70734,0.00877,0.00768,0.98,0.0005,2.83364,0.95,8.0264,0.5407,1.69311,0.01325,0.71716,0.31583,0.0,0.1004,0.37411,0.0,0.0,0.0,0.36449,0.85103,0.0,0.0
0.68562,0.01131,0.00748,0.98,0.00045,3.14651,0.82156,7.47875,0.46912,1.69311,0.01788,0.69927,0.40394,0.0,0.10026,0.47849,0.0,0.0,0.0,0.60726,1.0,0.0,0.0
0.6987,0.01021,0.00821,0.98,0.0005,3.22845,0.95,6.04942,0.39319,1.51522,0.01039,0.74143,0.28658,0.0,0.1324,0.47849,0.0,0.0,0.0,0.41387,1.0,0.0,0.0
0.71897,0.01189,0.0067,0.92335,0.00046,2.05532,0.89953,9.51138,0.52191,1.82326,0.01504,0.69905,0.35237,0.0,0.08953,0.36593,0.0,0.0,0.0,0.33203,0.66731,0.0,0.0
0.69876,0.01251,0.00779,0.89036,0.00053,2.15128,0.63099,8.30439,0.47526,1.81321,0.01262,0.52357,0.38519,0.0,0.0939,0.49226,0.0,0.0,0.0,0.44155,0.41216,0.0,0.0
0.70425,0.0138,0.00681,0.89436,0.00058,2.325,0.80323,8.77991,0.52191,1.58954,0.01504,0.68683,0.43562,0.0,0.0607,0.22669,0.0,0.0,0.0,0.36714,0.80203,0.0,0.0
0.71873,0.01248,0.00702,0.96448,0.00043,2.26932,0.84304,9.0461,0.67165,1.65113,0.01163,0.5385,0.40744,0.0,0.08274,0.35738,0.0,0.0,0.0,0.38586,0.71457,0.0,0.0
0.72442,0.0126,0.0101,0.94117,0.00034,2.3283,0.76989,7.02731,0.58789,1.16742,0.01063,0.54323,0.35768,0.0,0.08518,0.37595,0.0,0.0,0.0,0.38112,0.97626,0.0,0.0
0.71968,0.01632,0.01281,0.92564,0.00044,1.88138,0.82062,7.99254,0.58789,1.33115,0.01096,0.33062,0.35768,0.0,0.06881,0.40086,0.0,0.0,0.0,0.28361,0.77387,0.0,0.0
0.72513,0.01915,0.01034,0.94117,0.00032,2.3912,0.55326,7.95282,0.58789,0.96978,0.01366,0.52124,0.35768,0.0,0.0659,0.27582,0.0,0.0,0.0,0.44663,0.98286,0.0,0.0
0.72051,0.01915,0.01037,0.93202,0.00033,2.64735,0.55302,8.792,0.64282,0.97262,0.01195,0.56002,0.34881,0.0,0.0659,0.26662,0.0,0.0,0.0,0.43465,0.99751,0.0,0.0
0.72077,0.02066,0.01166,0.93202,0.00033,2.81672,0.57524,9.59171,0.63445,0.94798,0.01282,0.53946,0.38298,0.0,0.07991,0.26662,0.0,0.0,0.0,0.36562,0.78293,0.0,0.0
0.71206,0.01909,0.00976,0.94117,0.00025,2.85173,0.59991,7.47997,0.5694,0.84611,0.01244,0.52124,0.34909,0.0,0.06722,0.30826,0.0,0.0,0.0,0.3686,0.83258,0.0,0.0
