Model Name;Mean Precision;Mean Recall;mAP@0.5;mAP@0.5-0.95;Mean mAR
mod_yolov8m_afLeakyReLU_optSGD_epochs50;0.8857579161956699;0.7517856290246471;0.848950700433235;0.6484095345781158;0.7837259450579169
mod_yolov8m_afSiLU_optSGD_epochs50;0.8857579161956699;0.7517856290246471;0.848950700433235;0.6484095345781158;0.7837259450579169
mod_yolov8m_afSwish_optSGD_epochs50;0.8857579161956699;0.7517856290246471;0.848950700433235;0.6484095345781158;0.7837259450579169
mod_yolov8m_afSwish_optSGD_epochs30;0.7701507220388348;0.7710916915205079;0.8266894381795165;0.6115785354620918;0.7448775968002378
mod_yolov8m_afLeakyReLU_optSGD_epochs30;0.9038748515050535;0.6106070984778833;0.753446735871231;0.5465803099310632;0.7036272489463078
mod_yolov8m_afSiLU_optSGD_epochs30;0.8761466679568392;0.4769991387881145;0.5961770625814374;0.43250240150446584;0.5954563177077142
mod_yolov8n_afLeakyReLU_optSGD_epochs50;0.7387912326285019;0.5087777958374257;0.5654154433866628;0.40097577418124536;0.5534900615084589
mod_yolov8n_afSiLU_optSGD_epochs50;0.7387912326285019;0.5087777958374257;0.5654154433866628;0.40097577418124536;0.5534900615084589
mod_yolov8n_afSwish_optSGD_epochs50;0.7387912326285019;0.5087777958374257;0.5654154433866628;0.40097577418124536;0.5534900615084589
mod_yolov8m_afLeakyReLU_optAdamW_epochs50;0.7547298152779375;0.4712683629426768;0.5587907945772707;0.3892286115122481;0.5435043960775332
mod_yolov8m_afSiLU_optAdamW_epochs50;0.7547298152779375;0.4712683629426768;0.5585464981382657;0.3891861135093069;0.5434326974670467
mod_yolov8m_afSwish_optAdamW_epochs50;0.7563755265331569;0.41474943812003695;0.5317443609504643;0.3619743744728765;0.5162109250191337
mod_yolov8n_afLeakyReLU_optAdamW_epochs50;0.7068466064607325;0.4335487017647179;0.5393677522493312;0.35578361455853535;0.5088866687583292
mod_yolov8n_afSiLU_optAdamW_epochs50;0.7068466064607325;0.4335487017647179;0.5393677522493312;0.35578361455853535;0.5088866687583292
mod_yolov8n_afSwish_optAdamW_epochs50;0.7068466064607325;0.4335487017647179;0.5393677522493312;0.35578361455853535;0.5088866687583292
mod_yolov8n_afSiLU_optSGD_epochs30;0.6611183016214557;0.30322347217280504;0.3978491448012242;0.2758477896746388;0.40950967706753094
mod_yolov8n_afSwish_optSGD_epochs30;0.6611183016214557;0.30322347217280504;0.3978491448012242;0.2758477896746388;0.40950967706753094
mod_yolov8n_afLeakyReLU_optSGD_epochs30;0.6568543980907315;0.2982665550831276;0.388076678337362;0.27137422492836794;0.40364296410989725
mod_yolov8m_afSwish_optAdamW_epochs30;0.6124085342268756;0.3061492144918729;0.38178932679896643;0.24694203365105763;0.38682227729219315
mod_yolov8m_afLeakyReLU_optAdamW_epochs30;0.6190537854949313;0.30362787359913157;0.375488603752568;0.24426322892701288;0.38560837294341094
mod_yolov8n_afLeakyReLU_optAdamW_epochs30;0.6383614138498265;0.2858443863670024;0.3741037688768344;0.23496793494812881;0.383319376010448
mod_yolov8n_afSiLU_optAdamW_epochs30;0.6383614138498265;0.2858443863670024;0.3741037688768344;0.23496793494812881;0.383319376010448
mod_yolov8n_afSwish_optAdamW_epochs30;0.6383614138498265;0.2858443863670024;0.3741037688768344;0.23496793494812881;0.383319376010448
mod_yolov8m_afSiLU_optAdamW_epochs30;0.6097846688335392;0.2975093405674671;0.37266278418497145;0.24242480072915942;0.38059539857878427
mod_yolov8n_afLeakyReLU_optRMSProp_epochs50;0.010524004417749548;0.15261929647459616;0.020178062443172617;0.008692248666376233;0.048003403000473635
mod_yolov8n_afSiLU_optRMSProp_epochs50;0.010524004417749548;0.15261929647459616;0.020178062443172617;0.008692248666376233;0.048003403000473635
mod_yolov8n_afSwish_optRMSProp_epochs50;0.010222252674204745;0.14505264134831142;0.020040191858872018;0.008597798120974049;0.045978221000590555
mod_yolov8n_afLeakyReLU_optRMSProp_epochs30;0.003008209269146238;0.10925140587740004;0.006311139431966911;0.002392959852518918;0.030240928607758025
mod_yolov8n_afSiLU_optRMSProp_epochs30;0.003008209269146238;0.10925140587740004;0.006311139431966911;0.002392959852518918;0.030240928607758025
mod_yolov8n_afSwish_optRMSProp_epochs30;0.003008209269146238;0.10925140587740004;0.006311139431966911;0.002392959852518918;0.030240928607758025
mod_yolov8m_afLeakyReLU_optRMSProp_epochs30;0.0;0.0;0.0;0.0;0.0
mod_yolov8m_afLeakyReLU_optRMSProp_epochs50;0.0;0.0;0.0;0.0;0.0
mod_yolov8m_afSiLU_optRMSProp_epochs30;0.0;0.0;0.0;0.0;0.0
mod_yolov8m_afSiLU_optRMSProp_epochs50;0.0;0.0;0.0;0.0;0.0
mod_yolov8m_afSwish_optRMSProp_epochs30;0.0;0.0;0.0;0.0;0.0
mod_yolov8m_afSwish_optRMSProp_epochs50;0.0;0.0;0.0;0.0;0.0
